dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1890-01-01,25.965,2,Abidjan,Côte D'Ivoire,5.63N,3.23W
1890-02-01,26.912,1.273,Abidjan,Côte D'Ivoire,5.63N,3.23W
1890-03-01,26.442,2.005,Abidjan,Côte D'Ivoire,5.63N,3.23W
1890-04-01,25.694,1.622,Abidjan,Côte D'Ivoire,5.63N,3.23W
1890-05-01,25.011,1.659,Abidjan,Côte D'Ivoire,5.63N,3.23W
1890-06-01,23.592,1.102,Abidjan,Côte D'Ivoire,5.63N,3.23W
1890-07-01,23.748,1.228,Abidjan,Côte D'Ivoire,5.63N,3.23W
1890-08-01,22.363,0.942,Abidjan,Côte D'Ivoire,5.63N,3.23W
1890-09-01,23.548,0.807,Abidjan,Côte D'Ivoire,5.63N,3.23W
1890-10-01,24.762,0.794,Abidjan,Côte D'Ivoire,5.63N,3.23W
1890-11-01,24.997,0.841,Abidjan,Côte D'Ivoire,5.63N,3.23W
1890-12-01,25.256,1.293,Abidjan,Côte D'Ivoire,5.63N,3.23W
1891-01-01,25.886,1.172,Abidjan,Côte D'Ivoire,5.63N,3.23W
1891-02-01,26.65,0.736,Abidjan,Côte D'Ivoire,5.63N,3.23W
1891-03-01,27.067,0.787,Abidjan,Côte D'Ivoire,5.63N,3.23W
1891-04-01,26.379,0.774,Abidjan,Côte D'Ivoire,5.63N,3.23W
1891-05-01,25.591,0.868,Abidjan,Côte D'Ivoire,5.63N,3.23W
1891-06-01,24.434,0.622,Abidjan,Côte D'Ivoire,5.63N,3.23W
1891-07-01,22.63,0.905,Abidjan,Côte D'Ivoire,5.63N,3.23W
1891-08-01,22.377,0.715,Abidjan,Côte D'Ivoire,5.63N,3.23W
1891-09-01,23.607,0.727,Abidjan,Côte D'Ivoire,5.63N,3.23W
1891-10-01,24.791,0.617,Abidjan,Côte D'Ivoire,5.63N,3.23W
1891-11-01,25.742,1.013,Abidjan,Côte D'Ivoire,5.63N,3.23W
1891-12-01,26.155,0.774,Abidjan,Côte D'Ivoire,5.63N,3.23W
1892-01-01,26.481,1.239,Abidjan,Côte D'Ivoire,5.63N,3.23W
1892-02-01,27.043,0.989,Abidjan,Côte D'Ivoire,5.63N,3.23W
1892-03-01,27.124,1.121,Abidjan,Côte D'Ivoire,5.63N,3.23W
1892-04-01,26.191,0.799,Abidjan,Côte D'Ivoire,5.63N,3.23W
1892-05-01,24.826,1.074,Abidjan,Côte D'Ivoire,5.63N,3.23W
1892-06-01,24.297,0.713,Abidjan,Côte D'Ivoire,5.63N,3.23W
1892-07-01,23.203,1.155,Abidjan,Côte D'Ivoire,5.63N,3.23W
1892-08-01,22.488,0.67,Abidjan,Côte D'Ivoire,5.63N,3.23W
1892-09-01,23.833,0.562,Abidjan,Côte D'Ivoire,5.63N,3.23W
